name, nitg, filter, code, refpnt, top, bottom, logger, refpnt, depth, baro, file, begin, end, days, points
30FP0469,B30F0469,1,B30F0469/001,0.53,10.63,11.63,S2819,0.53,9.99,"Meteostation Valkenburg  - P","30fp0469-001_150319104653_S2819.MON",07-10-2014 13:00,19-03-2015 09:00,162,3909
30FP0469,B30F0469,1,B30F0469/001,0.53,10.63,11.63,S2819,0.53,9.99,"Meteostation Valkenburg  - P","S2819_30fp0469-001.MON",08-10-2015 11:00,11-05-2016 13:00,216,5187
30FP0469,B30F0469,1,B30F0469/001,0.53,10.63,11.63,D9094,0.53,9.99,"Meteostation Valkenburg  - P","b30f0469-001_160708170820_D9094.MON",31-03-2016 13:00,08-07-2016 15:00,99,2379
30FP0469,B30F0469,1,B30F0469/001,0.53,10.63,11.63,D9094,0.53,9.99,"Meteostation Valkenburg  - P","b30f0469-001_161020171259_D9094.MON",08-07-2016 16:00,20-10-2016 15:00,103,2496
30FP0469,B30F0469,1,B30F0469/001,0.53,10.63,11.63,D9094,0.53,9.99,"Meteostation Valkenburg  - P","b30f0469-001_170120161317_D9094.MON",20-10-2016 16:00,20-01-2017 15:00,91,2208
30FP0469,B30F0469,2,B30F0469/002,0.508,38.04,39.04,52303,0.508,3.045,"Meteostation Valkenburg  - P","30fp0469-002.MON",06-12-2011 12:00,18-04-2013 08:00,498,11973
30FP0469,B30F0469,2,B30F0469/002,0.508,38.04,39.04,52303,0.508,3.045,"Meteostation Valkenburg  - P","30fp0469-002.MON",19-04-2013 08:00,05-09-2013 09:00,139,3338
30FP0469,B30F0469,2,B30F0469/002,0.508,38.04,39.04,52303,0.508,3.045,"Meteostation Valkenburg  - P","30fp0469-002_140202224035_52303.MON",05-09-2013 10:00,29-01-2014 08:00,145,3503
30FP0469,B30F0469,2,B30F0469/002,0.508,38.04,39.04,52303,0.508,3.045,"Meteostation Valkenburg  - P","30fp0469-002.MON",29-01-2014 09:00,31-05-2014 08:00,121,2928
30FP0469,B30F0469,2,B30F0469/002,0.508,38.04,39.04,52303,0.508,3.045,"Meteostation Valkenburg  - P","30fp0469-002.MON",31-05-2014 08:00,07-10-2014 12:00,129,3101
30FP0469,B30F0469,2,B30F0469/002,0.508,38.04,39.04,S2894,0.508,3.045,"Meteostation Valkenburg  - P","30fp0469-002_150319104853_S2894.MON",07-10-2014 13:00,19-03-2015 09:00,162,3909
30FP0469,B30F0469,2,B30F0469/002,0.508,38.04,39.04,S2894,0.508,3.045,"Meteostation Valkenburg  - P","S2894_30fp0469-002.MON",08-10-2015 11:00,11-05-2016 13:00,216,5187
30FP0469,B30F0469,2,B30F0469/002,0.508,38.04,39.04,G2698,0.508,3.045,"Meteostation Valkenburg  - P","b30f0469-002_160708170957_G2698.MON",31-03-2016 13:00,08-07-2016 15:00,99,2379
30FP0469,B30F0469,2,B30F0469/002,0.508,38.04,39.04,G2698,0.508,3.045,"Meteostation Valkenburg  - P","b30f0469-002_161020171404_G2698.MON",08-07-2016 16:00,20-10-2016 15:00,103,2496
30FP0469,B30F0469,2,B30F0469/002,0.508,38.04,39.04,G2698,0.508,3.045,"Meteostation Valkenburg  - P","b30f0469-002_170120161621_G2698.MON",20-10-2016 16:00,20-01-2017 15:00,91,2208
30FP0469,B30F0469,3,B30F0469/003,0.477,60.54,61.54,52302,0.477,4.31,"Meteostation Valkenburg  - P","30fp0469-003.MON",06-12-2011 12:00,18-04-2013 07:00,498,11972
30FP0469,B30F0469,3,B30F0469/003,0.477,60.54,61.54,52302,0.477,4.31,"Meteostation Valkenburg  - P","30fp0469-003.MON",18-04-2013 08:00,05-09-2013 09:00,140,3362
30FP0472,B30F0472,1,B30F0472/001,0.506,29.33,31.33,M0486,0.506,5.04,"Meteostation Valkenburg  - P","b30f0472-001_M0486_160330165556.MON",15-12-2015 05:00,30-03-2016 14:00,106,2554
30FP0472,B30F0472,1,B30F0472/001,0.506,29.33,31.33,M0486,0.506,5.04,"Meteostation Valkenburg  - P","b30f0472-001_160708123021_M0486.MON",30-03-2016 15:00,08-07-2016 10:00,99,2396
30FP0472,B30F0472,1,B30F0472/001,0.506,29.33,31.33,M0486,0.506,5.04,"Meteostation Valkenburg  - P","b30f0472-001_161020125911_M0486.MON",08-07-2016 11:00,20-10-2016 10:00,103,2496
